symboling;normalized-losses;make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;wheel-base;height;fuel-system;horsepower;peak-rpm;city-mpg;highway-mpg;price;
3;?;alfa-romero;gas;std;two;convertible;rwd;front;88.6;48.8;mpfi;111;5000;21;27;13495;
3;?;alfa-romero;gas;std;two;convertible;rwd;front;88.6;48.8;mpfi;111;5000;21;27;16500;
1;?;alfa-romero;gas;std;two;hatchback;rwd;front;94.5;52.4;mpfi;154;5000;19;26;16500;
2;164;audi;gas;std;four;sedan;fwd;front;99.8;54.3;mpfi;102;5500;24;30;13950;
2;164;audi;gas;std;four;sedan;4wd;front;99.4;54.3;mpfi;115;5500;18;22;17450;
2;?;audi;gas;std;two;sedan;fwd;front;99.8;53.1;mpfi;110;5500;19;25;15250;
1;158;audi;gas;std;four;sedan;fwd;front;105.8;55.7;mpfi;110;5500;19;25;17710;
1;?;audi;gas;std;four;wagon;fwd;front;105.8;55.7;mpfi;110;5500;19;25;18920;
1;158;audi;gas;turbo;four;sedan;fwd;front;105.8;55.9;mpfi;140;5500;17;20;23875;
0;?;audi;gas;turbo;two;hatchback;4wd;front;99,5;52;mpfi;160;5500;16;22;?;
2;192;bmw;gas;std;two;sedan;rwd;front;101.2;54.3;mpfi;101;5800;23;29;16430;
0;192;bmw;gas;std;four;sedan;rwd;front;101.2;54.3;mpfi;101;5800;23;29;16925;
0;188;bmw;gas;std;two;sedan;rwd;front;101.2;54.3;mpfi;121;4250;21;28;20970;
0;188;bmw;gas;std;four;sedan;rwd;front;101.2;54,3;mpfi;121;4250;21;28;21105;
1;?;bmw;gas;std;four;sedan;rwd;front;103.5;55.7;mpfi;121;4250;20;25;24565;
0;?;bmw;gas;std;four;sedan;rwd;front;103.5;55.7;mpfi;182;5400;16;22;30760;
0;?;bmw;gas;std;two;sedan;rwd;front;103.5;53.7;mpfi;182;5400;16;22;41315;
0;?;bmw;gas;std;four;sedan;rwd;front;110;56.3;mpfi;182;5400;15;20;36880;
2;121;chevrolet;gas;std;two;hatchback;fwd;front;88.4;53.2;2bbl;48;5100;47;53;5151;
1;98;chevrolet;gas;std;two;hatchback;fwd;front;94.5;52;2bbl;70;5400;38;43;6295;
