rate,Submissions,cost per response
8,9,0.593333333
8,9,0.18
2,9,0.2
10,9,0.07
10,9,0.133333333
10,27,0.336666667
10,117,0.36
10,270,0.26
10,180,0.24
12,9,0.166666667
10,63,0.223333333
12,207,0.316666667
10,18,0.27
12,18,0.353333333
10,261,0.343333333
10,189,0.236666667
12,234,0.3
12,198,0.283333333
12,9,0.226666667
10,36,0.406666667
2,18,0.296666667
10,18,0.313333333
10,9,0.233333333
10,45,0.406666667
10,90,0.466666667
12,9,0.216666667
10,9,0.12
10,18,0.243333333
12,45,0.333333333
10,27,0.303333333
12,243,0.316666667
12,18,0.213333333
12,9,0.16
12,9,0.27
12,9,0.336666667
12,9,0.236666667
12,9,0.213333333
12,9,0.21
12,9,0.24
12,9,0.203333333
12,9,0.223333333
12,9,0.156666667
12,27,0.256666667
12,9,0.186666667
12,9,0.39
12,9,0.333333333
12,27,0.256666667
6,9,0.176666667
10,9,0.243333333
10,18,0.413333333
12,297,0.306666667
12,144,0.316666667
12,27,0.293333333
12,9,0.25
10,108,0.24
10,99,0.293333333
12,90,0.27
12,162,0.27
10,9,0.24
10,9,0.316666667
10,18,0.473333333
6,9,0.413333333
6,9,0.273333333
10,9,0.166666667
12,117,0.266666667
12,9,0.23
10,36,0.186666667
10,54,0.343333333
10,99,0.266666667
10,216,0.22
12,207,0.396666667
10,9,0.116666667
12,198,0.3
12,27,0.213333333
12,99,0.256666667
10,18,0.42
10,27,0.246666667
12,18,0.26
10,81,0.47
12,36,0.57
10,18,0.246666667
12,36,0.35
12,9,0.123333333
10,18,0.266666667
10,9,0.303333333
10,18,0.243333333
10,45,0.24
10,27,0.273333333
12,207,0.27
12,9,0.216666667
2,9,0.653333333
10,9,0.34
10,9,0.266666667
12,225,0.286666667
10,18,0.2
10,9,0.173333333
10,72,0.323333333
10,18,0.283333333
12,18,0.236666667
10,9,0.18
10,18,0.186666667
10,9,0.23
10,18,0.29
10,18,0.276666667
12,9,0.29
10,27,0.2
8,18,0.173333333
4,9,0.12
4,9,0.18
10,9,0.223333333
6,18,0.223333333
12,117,0.29
12,198,0.316666667
12,117,0.33
12,126,0.366666667
12,63,0.33
12,36,0.463333333
10,9,0.146666667
10,36,0.283333333
10,108,0.283333333
12,117,0.273333333
10,18,0.326666667
12,189,0.273333333
12,216,0.313333333
12,45,0.296666667
2,9,0.083333333
10,9,0.213333333
10,9,0.39
10,9,0.213333333
10,36,0.273333333
10,81,0.3
10,225,0.346666667
12,171,0.28
12,207,0.283333333
12,90,0.303333333
10,27,0.356666667
10,72,0.403333333
12,36,0.413333333
12,9,0.246666667
12,45,0.28
10,27,0.13
10,36,0.28
10,117,0.33
8,18,0.216666667
8,9,0.206666667
12,9,0.183333333
12,18,0.2
12,9,0.226666667
12,27,0.226666667
12,9,0.32
12,9,0.346666667
12,9,0.226666667
12,9,0.193333333
12,9,0.236666667
12,9,0.226666667
12,18,0.15
10,18,0.463333333
10,9,0.36
10,18,0.246666667
10,9,0.37
10,9,0.186666667
10,9,0.286666667
10,9,0.34
10,9,0.3
10,9,0.17
12,9,0.13
12,9,0.14
12,9,0.246666667
10,9,0.343333333
6,18,0.153333333
10,261,0.266666667
12,180,0.216666667
12,27,0.236666667
10,9,0.263333333
12,135,0.236666667
10,27,0.41
10,9,0.303333333
10,81,0.253333333
10,18,0.27
10,9,0.276666667
10,9,0.063333333
10,9,0.196666667
10,81,0.363333333
10,99,0.286666667
10,117,0.2
12,135,0.26
12,243,0.326666667
10,27,0.303333333
10,81,0.396666667
10,81,0.306666667
10,63,0.263333333
6,9,0.256666667
4,9,0.366666667
10,18,0.236666667
6,9,0.093333333
4,9,0.186666667
8,18,0.12
8,9,0.416666667
10,9,0.176666667
10,9,0.213333333
16,9,0.213333333
12,9,0.1
16,9,0.34
12,9,0.36
6,72,0.143333333
4,9,0.29
4,9,0.083333333
10,18,0.526666667
10,18,0.306666667
10,252,0.293333333
10,9,0.276666667
10,18,0.59
12,9,0.21
