"","ID_W","idind","ID_I","origsm","OCCUP08","diplom","H5","H6","age","J1_1_1","J1_1_2","J1_1_3","J1_1_6","J1_1_7","J1_1_9","J2COD08","J6_1","J6_2","J10","J13","J13_1","J21B","J21_1_1","J21_1_2","J21_1_3","J21_1_4","J21_1_5","J21_1_6","J21_1_7","J21_1_8","J21_1_9","J211_10","J211_12","J211_11","J21_3","J23","J24","J25","J26","J60","J66_1","J72_17","J73","J79_1_5","J791_11"
"1",5,7,100301,1,9,2,2,1944,50,NA,NA,NA,NA,NA,NA,9112,NA,NA,49000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,140000,NA,NA,1,NA,NA
"2",6,7,1010301,1,9,3,2,1944,51,NA,NA,NA,NA,NA,NA,9112,5,NA,125000,9,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,365000,NA,1,1,NA,NA
"3",7,7,1010301,1,9,2,2,1944,52,NA,NA,NA,NA,NA,NA,9621,5,NA,530000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,680000,NA,1,1,NA,NA
"4",8,7,1010301,1,3,4,2,1944,54,NA,NA,NA,NA,NA,NA,3412,5,25,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,388,NA,4,1,NA,NA
"5",9,7,1010301,1,3,2,2,1944,56,NA,NA,NA,NA,NA,NA,3412,7,35,NA,100,NA,NA,1,1,1,2,1,2,2,2,2,2,NA,NA,NA,1,2,2,2,500,4,1,1,NA,NA
"6",10,7,1010301,1,3,2,2,1944,57,NA,NA,NA,NA,NA,NA,3412,NA,35,819.35,NA,NA,NA,1,1,NA,2,1,NA,2,2,2,NA,NA,NA,NA,1,2,2,2,3479.35,3,1,1,NA,NA
"7",11,7,1010301,1,3,2,2,1944,58,2,2,4,NA,NA,NA,3412,NA,30,1000,140,NA,NA,1,1,1,2,1,2,2,1,2,2,NA,NA,NA,1,2,2,2,2295,4,1,1,NA,NA
"8",12,7,1010301,1,3,3,2,1944,59,3,3,5,NA,NA,NA,3412,NA,30,2217.62,NA,NA,NA,1,1,1,2,2,2,2,NA,2,NA,2,NA,NA,1,2,2,2,3766.62,4,1,1,NA,NA
"9",13,7,1010301,1,3,3,2,1944,60,4,3,4,NA,NA,NA,3412,NA,40,2239,NA,NA,NA,1,1,1,1,2,NA,NA,2,2,NA,NA,2,1,1,2,2,2,3939,2,4,1,NA,NA
"10",14,7,1010301,1,3,4,2,1944,61,4,4,4,NA,NA,NA,3412,NA,35,3249,9997,NA,NA,1,1,1,2,2,2,2,2,1,NA,NA,2,2,1,2,2,2,5750,2,1,1,NA,NA
"11",15,7,10100301,1,NA,3,2,1944,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2555,4,1,1,2,1
"12",16,7,10100301,1,NA,3,2,1944,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3490,4,1,1,NA,NA
"13",17,7,10100301,1,NA,3,2,1944,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5255,4,1,1,NA,NA
"14",18,7,100301,1,NA,2,2,1944,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6140,4,NA,1,2,2
"15",19,7,1000301,1,NA,2,2,1944,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8862,2,NA,1,NA,NA
"16",20,7,1000301,1,NA,2,2,1944,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13272.34,2,NA,1,NA,NA
"17",21,7,1000301,1,NA,2,2,1944,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9748,4,NA,1,NA,NA
"18",22,7,1000301,1,NA,2,2,1944,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10640,2,NA,1,NA,NA
"19",23,7,1000301,1,NA,2,2,1944,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13180,3,NA,1,NA,NA
"20",24,7,1000301,1,NA,2,2,1944,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14514,3,NA,1,NA,NA
"21",25,7,1000301,1,NA,2,2,1944,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13915,2,NA,1,NA,NA
"22",26,7,1000301,1,NA,2,2,1944,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16076,1,NA,1,NA,NA
"23",27,7,1000301,1,NA,3,2,1944,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16640,3,NA,1,NA,NA
"24",28,7,1000301,1,NA,3,2,1944,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16374,3,NA,1,NA,NA
"25",5,37,101702,1,8,4,1,1956,37,NA,NA,NA,NA,NA,NA,8332,NA,NA,370000,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,370000,NA,NA,2,NA,NA
"26",6,37,1020702,1,8,4,1,1956,38,NA,NA,NA,NA,NA,NA,8332,13,NA,7e+05,200,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,7e+05,NA,7,2,NA,NA
"27",7,37,1020702,1,8,4,1,1956,39,NA,NA,NA,NA,NA,NA,8332,8,NA,450000,270,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,450000,NA,7,2,NA,NA
"28",8,37,1020702,1,8,4,1,1956,41,NA,NA,NA,NA,NA,NA,8332,12,60,1600,300,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1600,NA,2,2,NA,NA
"29",9,37,1020702,1,8,4,1,1956,43,NA,NA,NA,NA,NA,NA,8332,12,84,3400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,5,4,2,NA,NA
"30",10,37,1020702,1,8,4,1,1956,44,NA,NA,NA,NA,NA,NA,83,NA,48,4000,10,2001,NA,1,NA,2,NA,NA,NA,2,2,2,2,NA,NA,NA,2,2,1,2,4000,5,2,2,NA,NA
"31",11,37,1020702,1,NA,4,1,1956,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,5,2,1,NA,NA
"32",12,37,1020702,1,NA,4,1,1956,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,5,2,1,NA,NA
"33",13,37,1020702,1,8,4,1,1956,47,1,4,2,NA,NA,NA,83,NA,45,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20330,3,NA,1,NA,NA
"34",14,37,1020702,1,5,4,1,1956,48,2,3,4,NA,NA,NA,5153,NA,36,2600,9997,NA,NA,2,2,NA,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,11300,4,2,1,NA,NA
"35",15,37,10200702,1,8,4,1,1956,49,1,2,2,NA,NA,NA,8332,NA,48,5000,15,NA,NA,1,NA,NA,2,NA,NA,1,1,2,NA,NA,NA,2,2,2,1,2,7200,4,2,1,2,2
"36",16,37,10200702,1,8,4,1,1956,50,3,3,3,NA,NA,NA,8332,NA,45,14000,15,NA,NA,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,1,2,14000,4,2,2,NA,NA
"37",17,37,10200702,1,8,4,1,1956,51,1,1,3,NA,NA,NA,83,NA,50,30000,200,NA,NA,1,1,NA,NA,1,NA,2,1,1,NA,1,2,2,1,2,2,2,30300,3,2,2,NA,NA
"38",18,37,102402,1,8,4,1,1956,52,3,3,4,2,2,2,8332,NA,32,22742,150,NA,42,1,1,NA,2,1,2,2,1,1,NA,1,2,2,1,2,1,1,22742,4,NA,2,2,2
